paramID,Strategy name,"(S,R1,R2,R12) at t=45","(S,R1,R2,R12) at t=90","(S,R1,R2,R12) at t=135","(S,R1,R2,R12) at t=180","(S,R1,R2,R12) at t=225","(S,R1,R2,R12) at t=270","(S,R1,R2,R12) at t=315","(S,R1,R2,R12) at t=360","(S,R1,R2,R12) at t=405","(S,R1,R2,R12) at t=450","(S,R1,R2,R12) at t=495","(S,R1,R2,R12) at t=540","(S,R1,R2,R12) at t=585","(S,R1,R2,R12) at t=630","(S,R1,R2,R12) at t=675","(S,R1,R2,R12) at t=720","(S,R1,R2,R12) at t=765","(S,R1,R2,R12) at t=810","(S,R1,R2,R12) at t=855","(S,R1,R2,R12) at t=900","(S,R1,R2,R12) at t=945","(S,R1,R2,R12) at t=990","(S,R1,R2,R12) at t=1035","(S,R1,R2,R12) at t=1080","(S,R1,R2,R12) at t=1125","(S,R1,R2,R12) at t=1170","(S,R1,R2,R12) at t=1215","(S,R1,R2,R12) at t=1260","(S,R1,R2,R12) at t=1305","(S,R1,R2,R12) at t=1350","(S,R1,R2,R12) at t=1395","(S,R1,R2,R12) at t=1440","(S,R1,R2,R12) at t=1485","(S,R1,R2,R12) at t=1530","(S,R1,R2,R12) at t=1575","(S,R1,R2,R12) at t=1620","(S,R1,R2,R12) at t=1665","(S,R1,R2,R12) at t=1710","(S,R1,R2,R12) at t=1755","(S,R1,R2,R12) at t=1800","(S,R1,R2,R12) at t=45","(S,R1,R2,R12) at t=90","(S,R1,R2,R12) at t=135","(S,R1,R2,R12) at t=180","(S,R1,R2,R12) at t=225","(S,R1,R2,R12) at t=270","(S,R1,R2,R12) at t=315","(S,R1,R2,R12) at t=360","(S,R1,R2,R12) at t=405","(S,R1,R2,R12) at t=450","(S,R1,R2,R12) at t=495","(S,R1,R2,R12) at t=540","(S,R1,R2,R12) at t=585","(S,R1,R2,R12) at t=630","(S,R1,R2,R12) at t=675","(S,R1,R2,R12) at t=720","(S,R1,R2,R12) at t=765","(S,R1,R2,R12) at t=810","(S,R1,R2,R12) at t=855","(S,R1,R2,R12) at t=900","(S,R1,R2,R12) at t=945","(S,R1,R2,R12) at t=990","(S,R1,R2,R12) at t=1035","(S,R1,R2,R12) at t=1080","(S,R1,R2,R12) at t=1125","(S,R1,R2,R12) at t=1170","(S,R1,R2,R12) at t=1215","(S,R1,R2,R12) at t=1260","(S,R1,R2,R12) at t=1305","(S,R1,R2,R12) at t=1350","(S,R1,R2,R12) at t=1395","(S,R1,R2,R12) at t=1440","(S,R1,R2,R12) at t=1485","(S,R1,R2,R12) at t=1530","(S,R1,R2,R12) at t=1575","(S,R1,R2,R12) at t=1620","(S,R1,R2,R12) at t=1665","(S,R1,R2,R12) at t=1710","(S,R1,R2,R12) at t=1755","(S,R1,R2,R12) at t=1800","(S,R1,R2,R12) at t=45","(S,R1,R2,R12) at t=90","(S,R1,R2,R12) at t=135","(S,R1,R2,R12) at t=180","(S,R1,R2,R12) at t=225","(S,R1,R2,R12) at t=270","(S,R1,R2,R12) at t=315","(S,R1,R2,R12) at t=360","(S,R1,R2,R12) at t=405","(S,R1,R2,R12) at t=450","(S,R1,R2,R12) at t=495","(S,R1,R2,R12) at t=540","(S,R1,R2,R12) at t=585","(S,R1,R2,R12) at t=630","(S,R1,R2,R12) at t=675","(S,R1,R2,R12) at t=720","(S,R1,R2,R12) at t=765","(S,R1,R2,R12) at t=810","(S,R1,R2,R12) at t=855","(S,R1,R2,R12) at t=900","(S,R1,R2,R12) at t=945","(S,R1,R2,R12) at t=990","(S,R1,R2,R12) at t=1035","(S,R1,R2,R12) at t=1080","(S,R1,R2,R12) at t=1125","(S,R1,R2,R12) at t=1170","(S,R1,R2,R12) at t=1215","(S,R1,R2,R12) at t=1260","(S,R1,R2,R12) at t=1305","(S,R1,R2,R12) at t=1350","(S,R1,R2,R12) at t=1395","(S,R1,R2,R12) at t=1440","(S,R1,R2,R12) at t=1485","(S,R1,R2,R12) at t=1530","(S,R1,R2,R12) at t=1575","(S,R1,R2,R12) at t=1620","(S,R1,R2,R12) at t=1665","(S,R1,R2,R12) at t=1710","(S,R1,R2,R12) at t=1755","(S,R1,R2,R12) at t=1800"
4569344,strategy0,"(8.70e-01,2.25e+05,9.80e-01,2.50e+04)","(8.70e-01,5.15e+05,9.80e-01,5.72e+04)","(8.70e-01,1.18e+06,9.80e-01,1.31e+05)","(8.70e-01,2.70e+06,9.80e-01,3.00e+05)","(8.70e-01,6.17e+06,9.80e-01,6.86e+05)","(8.70e-01,1.41e+07,9.80e-01,1.57e+06)","(8.70e-01,3.23e+07,9.80e-01,3.59e+06)","(8.70e-01,7.40e+07,9.80e-01,8.22e+06)","(8.70e-01,1.69e+08,9.80e-01,1.88e+07)","(8.70e-01,3.87e+08,9.80e-01,4.31e+07)","(8.70e-01,8.87e+08,9.80e-01,9.85e+07)","(8.70e-01,2.03e+09,9.80e-01,2.26e+08)","(8.70e-01,1.31e+09,9.80e-01,5.11e+08)","(8.70e-01,8.48e+08,9.80e-01,1.16e+09)","(8.70e-01,5.48e+08,9.80e-01,2.62e+09)","(8.70e-01,3.55e+08,9.80e-01,5.92e+09)","(8.70e-01,2.29e+08,9.80e-01,1.34e+10)","(8.70e-01,1.48e+08,9.80e-01,3.03e+10)","(8.70e-01,9.58e+07,9.80e-01,6.87e+10)","(8.70e-01,6.19e+07,9.80e-01,1.56e+11)","(8.70e-01,4.00e+07,9.80e-01,3.52e+11)","(8.70e-01,2.59e+07,9.80e-01,7.97e+11)","(8.70e-01,1.67e+07,9.80e-01,1.80e+12)","(8.70e-01,1.08e+07,9.80e-01,4.08e+12)","(8.70e-01,6.99e+06,9.80e-01,9.24e+12)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4569344,strategy1,nan
4569344,strategy2.1,nan
4569344,strategy2.2,"(8.70e-01,2.25e+05,9.80e-01,2.50e+04)","(8.70e-01,1.45e+05,9.80e-01,5.66e+04)","(8.70e-01,9.40e+04,9.80e-01,1.28e+05)","(8.70e-01,6.08e+04,9.80e-01,2.90e+05)","(8.70e-01,3.93e+04,9.80e-01,6.56e+05)","(8.70e-01,2.54e+04,9.80e-01,1.49e+06)","(8.70e-01,1.64e+04,9.80e-01,3.36e+06)","(8.70e-01,1.06e+04,9.80e-01,7.61e+06)","(8.70e-01,6.86e+03,9.80e-01,1.72e+07)","(8.70e-01,4.44e+03,9.80e-01,3.90e+07)","(8.70e-01,2.87e+03,9.80e-01,8.83e+07)","(8.70e-01,1.85e+03,9.80e-01,2.00e+08)","(8.70e-01,1.20e+03,9.80e-01,4.52e+08)","(8.70e-01,7.75e+02,9.80e-01,1.02e+09)","(8.70e-01,5.01e+02,9.80e-01,2.32e+09)","(8.70e-01,3.24e+02,9.80e-01,5.25e+09)","(8.70e-01,2.09e+02,9.80e-01,1.19e+10)","(8.70e-01,1.35e+02,9.80e-01,2.69e+10)","(8.70e-01,8.75e+01,9.80e-01,6.09e+10)","(8.70e-01,5.66e+01,9.80e-01,1.38e+11)","(8.70e-01,3.66e+01,9.80e-01,3.12e+11)","(8.70e-01,2.36e+01,9.80e-01,7.06e+11)","(8.70e-01,1.53e+01,9.80e-01,1.60e+12)","(8.70e-01,9.88e+00,9.80e-01,3.62e+12)","(8.70e-01,6.39e+00,9.80e-01,8.19e+12)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4569344,strategy3,nan
4569344,strategy4,nan
4569344,strategy5,nan
4569344,strategy6,nan
4569344,strategy7,nan
4569344,strategy8,nan
4569344,strategy9,nan
4567629,strategy0,"(8.70e-01,2.24e+05,9.80e-01,2.49e+04)","(8.70e-01,5.11e+05,9.80e-01,5.68e+04)","(8.70e-01,1.17e+06,9.80e-01,1.29e+05)","(8.70e-01,2.66e+06,9.80e-01,2.95e+05)","(8.70e-01,6.06e+06,9.80e-01,6.73e+05)","(8.70e-01,1.38e+07,9.80e-01,1.54e+06)","(8.70e-01,3.15e+07,9.80e-01,3.50e+06)","(8.70e-01,7.19e+07,9.80e-01,7.99e+06)","(8.70e-01,1.64e+08,9.80e-01,1.82e+07)","(8.70e-01,3.74e+08,9.80e-01,4.15e+07)","(8.70e-01,8.52e+08,9.80e-01,9.47e+07)","(8.70e-01,1.94e+09,9.80e-01,2.16e+08)","(8.70e-01,3.16e+09,9.80e-01,4.93e+08)","(8.70e-01,5.13e+09,9.80e-01,1.12e+09)","(8.70e-01,8.32e+09,9.80e-01,2.57e+09)","(8.70e-01,1.35e+10,9.80e-01,5.86e+09)","(8.70e-01,2.20e+10,9.80e-01,1.34e+10)","(8.70e-01,3.57e+10,9.80e-01,3.05e+10)","(8.70e-01,5.79e+10,9.80e-01,6.96e+10)","(8.70e-01,9.40e+10,9.80e-01,1.59e+11)","(8.70e-01,1.53e+11,9.80e-01,3.62e+11)","(8.70e-01,2.48e+11,9.80e-01,8.27e+11)","(8.70e-01,4.03e+11,9.80e-01,1.89e+12)","(8.70e-01,6.54e+11,9.80e-01,4.30e+12)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4567629,strategy1,nan
4567629,strategy2.1,nan
4567629,strategy2.2,"(8.70e-01,2.24e+05,9.80e-01,2.49e+04)","(8.70e-01,3.64e+05,9.80e-01,5.68e+04)","(8.70e-01,5.91e+05,9.80e-01,1.30e+05)","(8.70e-01,9.60e+05,9.80e-01,2.96e+05)","(8.70e-01,1.56e+06,9.80e-01,6.75e+05)","(8.70e-01,2.53e+06,9.80e-01,1.54e+06)","(8.70e-01,4.11e+06,9.80e-01,3.52e+06)","(8.70e-01,6.68e+06,9.80e-01,8.02e+06)","(8.70e-01,1.08e+07,9.80e-01,1.83e+07)","(8.70e-01,1.76e+07,9.80e-01,4.18e+07)","(8.70e-01,2.86e+07,9.80e-01,9.53e+07)","(8.70e-01,4.64e+07,9.80e-01,2.17e+08)","(8.70e-01,7.54e+07,9.80e-01,4.96e+08)","(8.70e-01,1.22e+08,9.80e-01,1.13e+09)","(8.70e-01,1.99e+08,9.80e-01,2.58e+09)","(8.70e-01,3.23e+08,9.80e-01,5.90e+09)","(8.70e-01,5.24e+08,9.80e-01,1.35e+10)","(8.70e-01,8.52e+08,9.80e-01,3.07e+10)","(8.70e-01,1.38e+09,9.80e-01,7.01e+10)","(8.70e-01,2.25e+09,9.80e-01,1.60e+11)","(8.70e-01,3.65e+09,9.80e-01,3.65e+11)","(8.70e-01,5.92e+09,9.80e-01,8.33e+11)","(8.70e-01,9.62e+09,9.80e-01,1.90e+12)","(8.70e-01,1.56e+10,9.80e-01,4.34e+12)","(8.70e-01,2.54e+10,9.80e-01,9.89e+12)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4567629,strategy3,nan
4567629,strategy4,nan
4567629,strategy5,nan
4567629,strategy6,nan
4567629,strategy7,nan
4567629,strategy8,nan
4567629,strategy9,nan
