paramID,Spop,R1pop,R2pop,R12pop,g0_S,g0_R1,g0_R2,g0_R12,Sa.S.D1.,Sa.S.D2.,Sa.R1.D1.,Sa.R1.D2.,Sa.R2.D1.,Sa.R2.D2.,Sa.R12.D1.,Sa.R12.D2.,T.S..S.,T.S..R1.,T.S..R2.,T.S..R12.,T.R1..S.,T.R1..R1.,T.R1..R2.,T.R1..R12.,T.R2..S.,T.R2..R1.,T.R2..R2.,T.R2..R12.,T.R12..S.,T.R12..R1.,T.R12..R2.,T.R12..R12.
30447183,4500000000,500000000,5,0,0.34,0.34,0.34,0.34,15.574,0.11478,0,0.11478,15.574,1.0977e-05,0,1.0977e-05,0,0,0,0,1e-11,0,0,0,2.154e-06,0,0,0,0,2.154e-06,1e-11,0
30442365,4500000000,500000000,5,0,0.34,0.34,0.34,0.34,15.574,0.0084097,0,0.0084097,15.574,8.4097e-08,0,8.4097e-08,0,0,0,0,4.642e-05,0,0,0,4.642e-09,0,0,0,0,4.642e-09,4.642e-05,0
30443804,4500000000,500000000,5,0,0.34,0.34,0.34,0.34,15.574,0.0084097,0.13549,0.0084097,15.574,7.6916e-06,0.13549,7.6916e-06,0,0,0,0,1e-11,0,0,0,0.001,0,0,0,0,0.001,1e-11,0
30447658,4500000000,500000000,5,0,0.34,0.34,0.34,0.34,15.574,0.11478,0.00015574,0.11478,15.574,0.00099856,0.00015574,0.00099856,0,0,0,0,4.642e-05,0,0,0,1e-07,0,0,0,0,1e-07,4.642e-05,0
30445941,4500000000,500000000,5,0,0.34,0.34,0.34,0.34,15.574,0.031147,0.014244,0.031147,15.574,0.00027098,0.014244,0.00027098,0,0,0,0,4.642e-05,0,0,0,2.154e-10,0,0,0,0,2.154e-10,4.642e-05,0
30449938,4500000000,500000000,5,0,0.34,0.34,0.34,0.34,15.574,0.42267,0.00015574,0.42267,15.574,4.0422e-05,0.00015574,4.0422e-05,0,0,0,0,4.642e-09,0,0,0,2.154e-10,0,0,0,0,2.154e-10,4.642e-09,0
30448647,4500000000,500000000,5,0,0.34,0.34,0.34,0.34,15.574,0.11478,0.13549,0.11478,15.574,0.00010498,0.13549,0.00010498,0,0,0,0,0.001,0,0,0,4.642e-05,0,0,0,0,4.642e-05,0.001,0
30447854,4500000000,500000000,5,0,0.34,0.34,0.34,0.34,15.574,0.11478,0.0014894,0.11478,15.574,1.1478e-06,0.0014894,1.1478e-06,0,0,0,0,4.642e-05,0,0,0,1e-07,0,0,0,0,1e-07,4.642e-05,0
30447221,4500000000,500000000,5,0,0.34,0.34,0.34,0.34,15.574,0.11478,0,0.11478,15.574,1.0977e-05,0,1.0977e-05,0,0,0,0,0.001,0,0,0,1e-11,0,0,0,0,1e-11,0.001,0
30449705,4500000000,500000000,5,0,0.34,0.34,0.34,0.34,15.574,0.42267,0,0.42267,15.574,0.0036772,0,0.0036772,0,0,0,0,1e-07,0,0,0,0.001,0,0,0,0,0.001,1e-07,0
30445615,4500000000,500000000,5,0,0.34,0.34,0.34,0.34,15.574,0.031147,0.0014894,0.031147,15.574,0.002607,0.0014894,0.002607,0,0,0,0,1e-11,0,0,0,2.154e-06,0,0,0,0,2.154e-06,1e-11,0
30445978,4500000000,500000000,5,0,0.34,0.34,0.34,0.34,15.574,0.031147,0.014244,0.031147,15.574,0.002607,0.014244,0.002607,0,0,0,0,1e-07,0,0,0,1e-07,0,0,0,0,1e-07,1e-07,0
30443327,4500000000,500000000,5,0,0.34,0.34,0.34,0.34,15.574,0.0084097,0.014244,0.0084097,15.574,0,0.014244,0,0,0,0,0,4.642e-09,0,0,0,4.642e-05,0,0,0,0,4.642e-05,4.642e-09,0
